strategy,node_id,body_zone,actuator_type,final_PT,final_PE,final_PSM,final_NPSM,final_TU,final_state,battery_level_pct,radio_active_time_s,energy_consumed_j,packet_count,allocated_sync_interval_ms,allocated_beacon_interval_ms,allocated_radio_wakeup_interval_ms,allocated_transmit_power_pct,allocated_trigger_offset_ms
Uniform,HN-001,Fingertip,LRA,57.75,19.579819504097138,38.17018049590286,0.6609555064225604,33.90444935774396,RELAXED,84.1639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-19.34
Uniform,HN-002,Fingertip,LRA,57.75,25.568561277683294,32.181438722316706,0.5572543501699863,44.274564983001376,NOMINAL,90.0639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-5.5
Uniform,HN-003,Fingertip,LRA,57.75,18.677210835936556,39.072789164063444,0.6765850937500163,32.341490624998364,RELAXED,91.9639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-18.58
Uniform,HN-004,Fingertip,LRA,57.75,27.902898554403848,29.847101445596152,0.5168329254648685,48.31670745351316,NOMINAL,88.86399999999989,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-14.12
Uniform,HN-005,Fingertip,LRA,57.75,50.10524436767781,7.6447556323221875,0.1323767209060119,86.7623279093988,ELEVATED,92.86399999999989,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-40.96
Uniform,HN-006,Fingertip,LRA,57.75,19.136548454934207,38.61345154506579,0.6686311955855548,33.13688044144452,RELAXED,96.1639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-15.31
Uniform,HN-007,Hand,ERM,66.15,33.256267300760115,32.89373269923989,0.4972597535788343,50.274024642116565,NOMINAL,88.0639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-26.49
Uniform,HN-008,Hand,ERM,66.15,28.46198848935431,37.688011510645694,0.569735623743699,43.026437625630095,NOMINAL,89.36399999999989,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-23.38
Uniform,HN-009,Hand,ERM,66.15,51.62252582311018,14.527474176889825,0.21961412209961942,78.03858779003806,ELEVATED,94.6639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-28.63
Uniform,HN-010,Hand,ERM,66.15,31.221313006944683,34.92868699305532,0.528022479108924,47.1977520891076,NOMINAL,96.36399999999989,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-10.81
Uniform,HN-011,Forearm,ERM,71.66250000000001,11.074893142043315,60.58760685795669,0.8454576222983664,15.454237770163354,RELAXED,97.86399999999989,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-8.03
Uniform,HN-012,Forearm,ERM,71.66250000000001,37.100658117195664,34.561841882804345,0.482286298730917,51.7713701269083,NOMINAL,87.7639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-13.96
Uniform,HN-013,Forearm,ERM,71.66250000000001,23.47989474537623,48.18260525462378,0.6723545125361768,32.76454874638232,RELAXED,87.0639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-6.95
Uniform,HN-014,Forearm,ERM,71.66250000000001,47.7080253010876,23.954474698912406,0.3342679183521703,66.57320816478297,NOMINAL,95.6639999999999,4.800000000000003,6.179999999999896,0,1000.0,60.0,250.0,50.0,-29.07
