num_nodes,baseline_energy_j,proposed_energy_j,energy_reduction_pct,baseline_messages,proposed_messages,messages_reduction_pct,violation_diff_pp
10,61.79999999999895,43.493999999999666,29.62135922330032,3000.0,1833.4,38.88666666666666,0.0033222591362126047
20,123.5999999999979,87.7811199999993,28.97967637540389,6000.0,3720.6,37.99,-0.036544850498338874
30,185.39999999999688,130.229439999999,29.75758360301986,9000.0,5468.6,39.23777777777777,-0.13953488372093023
40,247.1999999999958,178.23397999999855,27.89887540453011,12000.0,7487.9,37.60083333333334,0.058139534883720936
50,308.99999999999477,222.33787999999817,28.045993527507466,15000.0,9383.6,37.44266666666666,0.03853820598006645
