metric,uniform_baseline_mean,uniform_baseline_median,uniform_baseline_stdev,uniform_baseline_min,uniform_baseline_max,psm_adaptive_mean,psm_adaptive_median,psm_adaptive_stdev,psm_adaptive_min,psm_adaptive_max,effect,mean_paired_diff,bootstrap_95ci
Sync Messages,9000.0,9000.0,0.0,9000.0,9000.0,5468.6,5527.5,208.89815700479505,5003.0,5757.0,+39.2%,-3531.4,"(-3671.5225, -3416.6549999999997)"
Radio Active Time (s),144.0000000000001,144.0000000000001,0.0,144.0000000000001,144.0000000000001,124.01280000000006,124.14400000000008,6.458747568995077,111.57600000000005,134.3520000000001,+13.9%,-19.98720000000005,"(-24.055400000000056, -16.076800000000066)"
Estimated Communication Energy (J),185.39999999999688,185.39999999999688,0.0,185.39999999999688,185.39999999999688,130.229439999999,130.64809999999886,4.181428179748993,121.11339999999927,136.31979999999888,+29.8%,-55.170559999997884,"(-57.88757999999778, -52.817213999997904)"
Violation Rate (%),0.15946843853820597,0.0,0.47840531561461785,0.0,1.5946843853820596,0.019933554817275746,0.0,0.05980066445182723,0.0,0.19933554817275745,-0.140pp,-0.1395348837209302,"(-0.41860465116279066, 0.0)"
Mean PSM (ms),37.68243738833794,37.47197451171125,1.1993050731234922,35.50810324620498,39.853056434468826,37.66858629326076,37.58912752803198,1.459024038176267,35.30292492594937,40.76763019913346,-,-0.013851095077185249,"(-0.39130068464781564, 0.4004955251859001)"
Minimum/5th-pct PSM (ms),5.002122360657394,6.55711722572946,5.35088164518424,-9.091913279351417,10.038081300997156,4.564303166005894,4.555773344008877,4.365621088916704,-3.8250243523132355,11.062775630482513,-,-0.4378191946514988,"(-2.1291271975392845, 1.2135726813966592)"
